Check,Year,Formula,Expected,Actual,Difference,Status,Notes
active_users_check,2026,total_employees*activation_rate,4050.0,4050.0,0.0,OK,
workplace_annual_tokens_check,2026,active_users*tokens_per_active_user_per_day*working_days,25008750000.0,25008750000.0,0.0,OK,
automated_interactions_check,2026,interactions_per_day*automation_rate,1843.5,1843.5,0.0,OK,
contact_center_annual_tokens_check,2026,automated_interactions*tokens_per_interaction*calendar_days,17091088500.0,17091088500.0,0.0,OK,
total_annual_tokens_check,2026,workplace_annual_tokens+contact_center_annual_tokens,42099838500.0,42099838500.0,0.0,OK,
tokens_per_second_check,2026,total_annual_tokens/(working_days*working_hours*3600),3945.478941745389,3945.478941745389,0.0,OK,
required_gpu_check,2026,ceil(tokens_per_second/(weighted_throughput*utilization)*peak_factor),35,35,0.0,OK,
construction_flag_check,2026,1 if year==construction_start_year else 0,0,0,0,OK,
owned_gpu_check,2026,required_gpu if year>=construction_start_year else 0,0,0,0.0,OK,
rented_gpu_check,2026,required_gpu if year<construction_start_year else 0,35.0,35,0.0,OK,
owned_gpu_increment_check,2026,"owned first year else max(delta,0)",0.0,0,0.0,OK,
gpu_capex_check,2026,owned_gpu_increment*gpu_unit_cost,0.0,0.0,0.0,OK,
gpu_infra_capex_check,2026,gpu_capex*infra_multiplier,0.0,0.0,0.0,OK,
tangible_capex_check,2026,gpu_infra+dc+office,25570000.0,25570000.0,0.0,OK,
intangible_capex_check,2026,workplace_ai_ip_value+contact_center_ai_ip_value,307563750.0,307563750.0,0.0,OK,
total_capex_check,2026,tangible_capex+intangible_capex,333133750.0,333133750.0,0.0,OK,
datacenter_construction_capex_check,2026,total_component_rub*construction_flag,0.0,0.0,0.0,OK,
office_capex_depreciation_check,2026,sum office depreciation components,6402190.476190476,6402190.476190477,9.313225746154785e-10,OK,
total_ppe_depreciation_check,2026,gpu_depreciation+datacenter_depreciation+office_capex_depreciation,6402190.476190477,6402190.476190477,0.0,OK,
ip_amortization_check,2026,workplace_ai_amortization+contact_center_ai_amortization,61512750.0,61512750.0,0.0,OK,
total_depreciation_and_amortization_check,2026,total_ppe_depreciation+ip_amortization,67914940.47619048,67914940.47619048,0.0,OK,
gpu_rental_opex_check,2026,rented_gpu*rental_price_per_gpu_per_year,63000000.0,63000000.0,0.0,OK,
electricity_cost_check,2026,electricity_kwh*electricity_price_t,0.0,0.0,0.0,OK,
total_datacenter_opex_check,2026,electricity+maintenance+network+land+other,0.0,0.0,0.0,OK,
team_opex_check,2026,annual_core_team_cash_cost-capitalized_core_team_cost,246051000.0,246051000.0,0.0,OK,
total_sga_check,2026,annual_fixed_sga+annual_office_rent,121968000.0,121968000.0,0.0,OK,
pricing_base_check,2026,total_cogs+total_depreciation_and_amortization,376965940.47619045,376965940.47619045,0.0,OK,
workplace_token_share_check,2026,workplace_annual_tokens/total_annual_tokens,0.5940343452861464,0.5940343452861464,0.0,OK,
contact_center_token_share_check,2026,contact_center_annual_tokens/total_annual_tokens,0.4059656547138536,0.4059656547138536,0.0,OK,
workplace_revenue_check,2026,workplace_pricing_base/(1-margin)*availability,131723950.37997073,131723950.37997073,0.0,OK,
contact_center_revenue_check,2026,contact_center_pricing_base/(1-margin)*availability,90020720.4883766,90020720.4883766,0.0,OK,
total_revenue_check,2026,workplace_ai_revenue+contact_center_ai_revenue,221744670.86834735,221744670.86834735,0.0,OK,
total_cogs_check,2026,total_datacenter_opex+total_team_opex+annual_gpu_rental_cost,309051000.0,309051000.0,0.0,OK,
gross_profit_check,2026,total_revenue-total_cogs,-87306329.13165265,-87306329.13165265,0.0,OK,
ebitda_check,2026,gross_profit-total_sga,-209274329.13165265,-209274329.13165265,0.0,OK,
