scenario,required_gpu,month_seq,month_id,year,month,workplace_revenue,contact_center_revenue,total_revenue,cogs,sga,depreciation_and_amortization,ebit,profit_tax,net_income,operating_cash_flow,investing_cash_flow,pre_financing_cash_flow,opening_cash_before_funding,closing_cash_before_funding,net_ppe,net_intangible_assets,total_assets_pre_funding,total_liabilities_pre_funding,total_equity_pre_funding
rent_gpu_only,533.950803,50,2030-11,2030,11,115505874.4,17387052.17,132892926.57,86380402.27,8502000.0,0.0,38010524.3,9502631.07,28507893.22,28507893.22,-0.0,28507893.22,415854140.36,444362033.58,0.0,0.0,444362033.58,0.0,444362033.58
rent_gpu_only,533.950803,51,2030-12,2030,12,115505874.4,17387052.17,132892926.57,86380402.27,8502000.0,0.0,38010524.3,9502631.07,28507893.22,28507893.22,-0.0,28507893.22,444362033.58,472869926.8,0.0,0.0,472869926.8,0.0,472869926.8
hybrid,23.998097,1,2026-10,2026,10,0.0,0.0,0.0,31948800.0,8502000.0,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-0.0,-40450800.0,0.0,-40450800.0,0.0,0.0,-40450800.0,0.0,-40450800.0
hybrid,23.998097,2,2026-11,2026,11,0.0,0.0,0.0,31948800.0,8502000.0,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-0.0,-40450800.0,-40450800.0,-80901600.0,0.0,0.0,-80901600.0,0.0,-80901600.0
hybrid,23.998097,3,2026-12,2026,12,0.0,0.0,0.0,31948800.0,8502000.0,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-0.0,-40450800.0,-80901600.0,-121352400.0,0.0,0.0,-121352400.0,0.0,-121352400.0
hybrid,91.300283,4,2027-01,2027,1,0.0,0.0,0.0,41635776.0,8502000.0,0.0,-50137776.0,0.0,-50137776.0,-50137776.0,-0.0,-50137776.0,-121352400.0,-171490176.0,0.0,0.0,-171490176.0,0.0,-171490176.0
hybrid,91.300283,5,2027-02,2027,2,0.0,0.0,0.0,50459136.0,8502000.0,0.0,-58961136.0,0.0,-58961136.0,-58961136.0,-0.0,-58961136.0,-171490176.0,-230451312.0,0.0,0.0,-230451312.0,0.0,-230451312.0
hybrid,91.300283,6,2027-03,2027,3,0.0,0.0,0.0,50459136.0,8502000.0,0.0,-58961136.0,0.0,-58961136.0,-58961136.0,-0.0,-58961136.0,-230451312.0,-289412448.0,0.0,0.0,-289412448.0,0.0,-289412448.0
hybrid,91.300283,7,2027-04,2027,4,44962503.71,20950616.29,65913120.0,52730496.0,8502000.0,0.0,4680624.0,1170156.0,3510468.0,3510468.0,-0.0,3510468.0,-289412448.0,-285901980.0,0.0,0.0,-285901980.0,0.0,-285901980.0
hybrid,91.300283,8,2027-05,2027,5,44962503.71,20950616.29,65913120.0,52730496.0,8502000.0,0.0,4680624.0,1170156.0,3510468.0,3510468.0,-0.0,3510468.0,-285901980.0,-282391512.0,0.0,0.0,-282391512.0,0.0,-282391512.0
hybrid,91.300283,9,2027-06,2027,6,45856390.47,21367129.53,67223520.0,53778816.0,8502000.0,0.0,4942704.0,1235676.0,3707028.0,3707028.0,-0.0,3707028.0,-282391512.0,-278684484.0,0.0,0.0,-278684484.0,0.0,-278684484.0
hybrid,91.300283,10,2027-07,2027,7,48389069.6,22547250.4,70936320.0,56749056.0,8502000.0,0.0,5685264.0,1421316.0,4263948.0,4263948.0,-0.0,4263948.0,-278684484.0,-274420536.0,0.0,0.0,-274420536.0,0.0,-274420536.0
hybrid,91.300283,11,2027-08,2027,8,48389069.6,22547250.4,70936320.0,56749056.0,8502000.0,0.0,5685264.0,1421316.0,4263948.0,4263948.0,-0.0,4263948.0,-274420536.0,-270156588.0,0.0,0.0,-270156588.0,0.0,-270156588.0
hybrid,91.300283,12,2027-09,2027,9,50325824.23,23449695.77,73775520.0,59020416.0,8502000.0,0.0,6253104.0,1563276.0,4689828.0,4689828.0,-0.0,4689828.0,-270156588.0,-265466760.0,0.0,0.0,-265466760.0,0.0,-265466760.0
hybrid,91.300283,13,2027-10,2027,10,50325824.23,23449695.77,73775520.0,59020416.0,8502000.0,0.0,6253104.0,1563276.0,4689828.0,4689828.0,-0.0,4689828.0,-265466760.0,-260776932.0,0.0,0.0,-260776932.0,0.0,-260776932.0
hybrid,91.300283,14,2027-11,2027,11,50325824.23,23449695.77,73775520.0,59020416.0,8502000.0,0.0,6253104.0,1563276.0,4689828.0,4689828.0,-0.0,4689828.0,-260776932.0,-256087104.0,0.0,0.0,-256087104.0,0.0,-256087104.0
hybrid,91.300283,15,2027-12,2027,12,50325824.23,23449695.77,73775520.0,59020416.0,8502000.0,0.0,6253104.0,1563276.0,4689828.0,4689828.0,-0.0,4689828.0,-256087104.0,-251397276.0,0.0,0.0,-251397276.0,0.0,-251397276.0
hybrid,235.968842,16,2028-01,2028,1,71625671.66,23137797.23,94763468.89,71072601.65,8502000.0,0.02,15188867.22,3797216.81,11391650.42,11391650.44,-1.0,11391649.44,-251397276.0,-240005626.56,0.68,0.0,-240005625.88,0.0,-240005625.88
hybrid,235.968842,17,2028-02,2028,2,71625671.66,23137797.23,94763468.89,71072601.65,8502000.0,0.02,15188867.22,3797216.81,11391650.42,11391650.44,-1.0,11391649.44,-240005626.56,-228613977.13,1.66,0.0,-228613975.47,0.0,-228613975.47
hybrid,235.968842,18,2028-03,2028,3,71625671.66,23137797.23,94763468.89,71072601.65,8502000.0,0.02,15188867.22,3797216.81,11391650.42,11391650.44,-1.0,11391649.44,-228613977.13,-217222327.69,2.64,0.0,-217222325.05,0.0,-217222325.05
hybrid,235.968842,19,2028-04,2028,4,71625671.66,23137797.23,94763468.89,71072601.65,8502000.0,0.02,15188867.22,3797216.81,11391650.42,11391650.44,-1.0,11391649.44,-217222327.69,-205830678.25,3.62,0.0,-205830674.63,0.0,-205830674.63
hybrid,235.968842,20,2028-05,2028,5,71625671.66,23137797.23,94763468.89,71072601.65,8502000.0,0.02,15188867.22,3797216.81,11391650.42,11391650.44,-1.0,11391649.44,-205830678.25,-194439028.81,4.6,0.0,-194439024.21,0.0,-194439024.21
hybrid,235.968842,21,2028-06,2028,6,76041748.76,24564356.93,100606105.69,75454579.25,8502000.0,0.02,16649526.42,4162381.61,12487144.82,12487144.84,-1.0,12487143.84,-194439028.81,-181951884.98,5.58,0.0,-181951879.4,0.0,-181951879.4
hybrid,235.968842,22,2028-07,2028,7,76236865.64,24627387.05,100864252.69,75648185.59,8502000.0,3.93,16714063.17,4178515.79,12535547.38,12535551.31,-235.97,12535315.34,-181951884.98,-169416569.63,155.51,0.0,-169416414.13,0.0,-169416414.13
hybrid,235.968842,23,2028-08,2028,8,76236849.2,24627381.74,100864230.93,75648173.2,8502000.0,0.0,16714057.73,4178514.43,12535543.3,12535543.3,-0.0,12535543.3,-169416569.63,-156881026.33,241.97,0.0,-156880784.37,0.0,-156880784.37
hybrid,235.968842,24,2028-09,2028,9,76236849.2,24627381.74,100864230.93,75648173.2,8502000.0,0.0,16714057.73,4178514.43,12535543.3,12535543.3,-0.0,12535543.3,-156881026.33,-144345483.03,241.97,0.0,-144345241.07,0.0,-144345241.07
hybrid,235.968842,25,2028-10,2028,10,76236849.2,24627381.74,100864230.93,75648173.2,8502000.0,0.0,16714057.73,4178514.43,12535543.3,12535543.3,-0.0,12535543.3,-144345483.03,-131809939.73,241.97,0.0,-131809697.77,0.0,-131809697.77
hybrid,235.968842,26,2028-11,2028,11,76236849.2,24627381.74,100864230.93,75648173.2,8502000.0,0.0,16714057.73,4178514.43,12535543.3,12535543.3,-0.0,12535543.3,-131809939.73,-119274396.43,241.97,0.0,-119274154.47,0.0,-119274154.47
hybrid,235.968842,27,2028-12,2028,12,76236849.2,24627381.74,100864230.93,75648173.2,8502000.0,0.0,16714057.73,4178514.43,12535543.3,12535543.3,-0.0,12535543.3,-119274396.43,-106738853.13,241.97,0.0,-106738611.17,0.0,-106738611.17
hybrid,474.029941,28,2029-01,2029,1,100063198.73,16908039.18,116971237.91,81879862.57,8502000.0,3.97,26589371.37,6647342.84,19942028.53,19942032.5,-238.06,19941794.44,-106738853.13,-86797058.69,368.87,0.0,-86796689.82,0.0,-86796689.82
hybrid,474.029941,29,2029-02,2029,2,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,-86797058.69,-66855035.46,480.03,0.0,-66854555.43,0.0,-66854555.43
hybrid,474.029941,30,2029-03,2029,3,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,-66855035.46,-46913012.22,480.03,0.0,-46912532.19,0.0,-46912532.19
hybrid,474.029941,31,2029-04,2029,4,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,-46913012.22,-26970988.98,480.03,0.0,-26970508.95,0.0,-26970508.95
hybrid,474.029941,32,2029-05,2029,5,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,-26970988.98,-7028965.75,480.03,0.0,-7028485.72,0.0,-7028485.72
hybrid,474.029941,33,2029-06,2029,6,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,-7028965.75,12913057.49,480.03,0.0,12913537.52,0.0,12913537.52
hybrid,474.029941,34,2029-07,2029,7,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,12913057.49,32855080.73,480.03,0.0,32855560.76,0.0,32855560.76
hybrid,474.029941,35,2029-08,2029,8,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,32855080.73,52797103.96,480.03,0.0,52797583.99,0.0,52797583.99
hybrid,474.029941,36,2029-09,2029,9,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,52797103.96,72739127.2,480.03,0.0,72739607.23,0.0,72739607.23
hybrid,474.029941,37,2029-10,2029,10,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,72739127.2,92681150.44,480.03,0.0,92681630.47,0.0,92681630.47
hybrid,474.029941,38,2029-11,2029,11,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,92681150.44,112623173.67,480.03,0.0,112623653.7,0.0,112623653.7
hybrid,474.029941,39,2029-12,2029,12,100063178.6,16908035.78,116971214.39,81879850.07,8502000.0,0.0,26589364.32,6647341.08,19942023.24,19942023.24,-0.0,19942023.24,112623173.67,132565196.91,480.03,0.0,132565676.94,0.0,132565676.94
hybrid,533.950803,40,2030-01,2030,1,116091650.21,17475228.76,133566878.97,86818470.33,8502000.0,1.0,38246407.64,9561601.91,28684805.73,28684806.73,-59.92,28684746.81,132565196.91,161249943.72,499.95,0.0,161250443.67,0.0,161250443.67
hybrid,533.950803,41,2030-02,2030,2,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,161249943.72,189934747.78,539.95,0.0,189935287.73,0.0,189935287.73
hybrid,533.950803,42,2030-03,2030,3,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,189934747.78,218619551.83,539.95,0.0,218620091.78,0.0,218620091.78
hybrid,533.950803,43,2030-04,2030,4,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,218619551.83,247304355.89,539.95,0.0,247304895.84,0.0,247304895.84
hybrid,533.950803,44,2030-05,2030,5,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,247304355.89,275989159.95,539.95,0.0,275989699.9,0.0,275989699.9
hybrid,533.950803,45,2030-06,2030,6,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,275989159.95,304673964.01,539.95,0.0,304674503.96,0.0,304674503.96
hybrid,533.950803,46,2030-07,2030,7,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,304673964.01,333358768.06,539.95,0.0,333359308.01,0.0,333359308.01
hybrid,533.950803,47,2030-08,2030,8,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,333358768.06,362043572.12,539.95,0.0,362044112.07,0.0,362044112.07
hybrid,533.950803,48,2030-09,2030,9,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,362043572.12,390728376.18,539.95,0.0,390728916.13,0.0,390728916.13
hybrid,533.950803,49,2030-10,2030,10,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,390728376.18,419413180.24,539.95,0.0,419413720.19,0.0,419413720.19
hybrid,533.950803,50,2030-11,2030,11,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,419413180.24,448097984.29,539.95,0.0,448098524.24,0.0,448098524.24
hybrid,533.950803,51,2030-12,2030,12,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,448097984.29,476782788.35,539.95,0.0,476783328.3,0.0,476783328.3
